# Time-averaged data for fix E_log
# TimeStep v_E_xfr
0 0
10000 21.5405
20000 42.1485
30000 62.0312
40000 82.5938
50000 103.008
60000 123.508
70000 143.397
80000 164.155
90000 184.33
100000 204.911
110000 225.267
120000 245.228
130000 265.641
140000 285.592
150000 305.843
160000 325.899
170000 346.309
180000 366.274
190000 387.109
200000 407.62
210000 428.644
220000 449.151
230000 469.361
240000 490.158
250000 510.747
260000 531.242
270000 552.374
280000 573.107
290000 593.604
300000 614.571
310000 635.799
320000 656.272
330000 676.594
340000 696.66
350000 717.83
360000 738.169
370000 758.544
380000 779.009
390000 799.579
400000 819.934
410000 840.774
420000 861.156
430000 881.985
440000 902.207
450000 923.08
460000 943.557
470000 963.495
480000 983.656
490000 1004.06
500000 1024.45
