# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843
  14 175.964 1014.33 310.387
  15 188.999 986.49 307.028
  16 202.033 982.49 300.703
  17 215.068 1019.22 296.108
  18 228.102 947.51 290.839
  19 241.136 1016.87 286.308
  20 254.171 1017.06 279.771
110000 20 19842.999999999996
  1 6.5172 974.77 275.274
  2 19.5516 1014.71 280.99
  3 32.586 958.32 285.271
  4 45.6204 1014.04 290.474
  5 58.6548 968.2 290.46
  6 71.6892 1001.41 297.131
  7 84.7236 1016.14 303.88
  8 97.758 948.96 309.645
  9 110.792 1017.43 310.834
  10 123.827 975.56 319.627
  11 136.861 994.23 331.992
  12 149.896 1014.56 325.447
  13 162.93 958.63 316.549
  14 175.964 1014.21 305.428
  15 188.999 986.88 304.807
  16 202.033 982.14 303.33
  17 215.068 1019.31 300.422
  18 228.102 947.8 292.432
  19 241.136 1016.47 286.547
  20 254.171 1019.23 282.178
120000 20 19843
  1 6.5172 976.11 270.427
  2 19.5516 1014.73 282.346
  3 32.586 958.23 284.156
  4 45.6204 1014.11 292.137
  5 58.6548 968.66 292.708
  6 71.6892 1001.09 299.242
  7 84.7236 1016.51 300.525
  8 97.758 948.56 309.135
  9 110.792 1017.29 311.637
  10 123.827 977.13 316.671
  11 136.861 992.69 325.079
  12 149.896 1014.61 324.872
  13 162.93 958.47 317.193
  14 175.964 1014.35 310.201
  15 188.999 986.08 307.013
  16 202.033 982.88 305.042
  17 215.068 1019.38 301.907
  18 228.102 947.28 295.451
  19 241.136 1016.85 285.542
  20 254.171 1017.99 280.859
130000 20 19842.999999999996
  1 6.5172 973.72 275.301
  2 19.5516 1014.76 276.886
  3 32.586 958.32 286.047
  4 45.6204 1014.03 288.352
  5 58.6548 967.28 291.341
  6 71.6892 1002.25 297.652
  7 84.7236 1016.26 301.402
  8 97.758 948.89 310.528
  9 110.792 1017.33 312.293
  10 123.827 975.3 315.372
  11 136.861 994.51 329.14
  12 149.896 1014.57 324.007
  13 162.93 958.56 316.342
  14 175.964 1014.35 312.926
  15 188.999 987.68 306.452
  16 202.033 981.29 299.561
  17 215.068 1019.37 299.304
  18 228.102 947.76 293.443
  19 241.136 1016.56 291.451
  20 254.171 1020.21 281.433
140000 20 19843
  1 6.5172 973.96 273.056
  2 19.5516 1014.67 273.371
  3 32.586 958.43 283.716
  4 45.6204 1014 286.525
  5 58.6548 969.13 292.19
  6 71.6892 1000.47 302.439
  7 84.7236 1016.57 306.291
  8 97.758 948.64 313.486
  9 110.792 1017.28 313.481
  10 123.827 976.06 315.879
  11 136.861 993.73 334.549
  12 149.896 1014.43 325.538
  13 162.93 958.49 315.247
  14 175.964 1014.42 312.622
  15 188.999 985.7 310.931
  16 202.033 983.42 298.091
  17 215.068 1019.32 296.13
  18 228.102 947.5 286.432
  19 241.136 1016.67 288.94
  20 254.171 1020.11 283.131
150000 20 19843
  1 6.5172 973.03 273.742
  2 19.5516 1014.67 280.222
  3 32.586 958.28 284.76
  4 45.6204 1014.19 288.977
  5 58.6548 966.78 292.308
  6 71.6892 1002.77 296.616
  7 84.7236 1016.29 303.791
  8 97.758 948.82 309.324
  9 110.792 1017.35 312.165
  10 123.827 975.11 319.935
  11 136.861 994.7 331.9
  12 149.896 1014.52 323.596
  13 162.93 958.56 319.288
  14 175.964 1014.34 310.586
  15 188.999 988.33 308.773
  16 202.033 980.77 298.819
  17 215.068 1019.37 293.956
  18 228.102 948.03 292.002
  19 241.136 1016.16 286.004
  20 254.171 1020.93 277.63
160000 20 19843.000000000004
  1 6.5172 969.38 271.772
  2 19.5516 1014.73 277.354
  3 32.586 958.44 282.145
  4 45.6204 1013.96 291.517
  5 58.6548 969.42 291.634
  6 71.6892 1000.17 302.895
  7 84.7236 1016.32 304.051
  8 97.758 948.75 305.565
  9 110.792 1017.31 314.728
  10 123.827 973.12 321.885
  11 136.861 996.76 328.498
  12 149.896 1014.4 321.439
  13 162.93 958.36 318.273
  14 175.964 1014.48 315.087
  15 188.999 986.89 306.515
  16 202.033 982.27 301.755
  17 215.068 1019.41 294.433
  18 228.102 947.61 293.854
  19 241.136 1016.72 285.392
  20 254.171 1024.5 280.487
170000 20 19843
  1 6.5172 968.2 268.868
  2 19.5516 1014.77 278.07
  3 32.586 958.35 285.881
  4 45.6204 1013.97 288.576
  5 58.6548 969.11 295.185
  6 71.6892 1000.45 298.466
  7 84.7236 1016.67 302.894
  8 97.758 948.44 310.121
  9 110.792 1017.36 319.024
  10 123.827 972.58 327.77
  11 136.861 997.25 332.572
  12 149.896 1014.42 322.501
  13 162.93 958.44 312.576
  14 175.964 1014.39 308.113
  15 188.999 986.06 304.337
  16 202.033 983.08 302.846
  17 215.068 1019.75 300.415
  18 228.102 947.76 292.145
  19 241.136 1016.22 286.346
  20 254.171 1025.73 278.179
180000 20 19843
  1 6.5172 967.66 268.821
  2 19.5516 1014.86 278.841
  3 32.586 958.39 280.893
  4 45.6204 1013.84 291.783
  5 58.6548 970.52 296.489
  6 71.6892 998.98 302.72
  7 84.7236 1016.69 303.361
  8 97.758 948.62 309.687
  9 110.792 1017.24 314.22
  10 123.827 971.94 322.757
  11 136.861 997.89 325.828
  12 149.896 1014.17 316.744
  13 162.93 958.47 314.226
  14 175.964 1014.57 310.812
  15 188.999 984.5 305.301
  16 202.033 984.69 304.787
  17 215.068 1019.45 300.586
  18 228.102 948.25 296.706
  19 241.136 1015.98 289.082
  20 254.171 1026.29 281.342
190000 20 19843
  1 6.5172 969.32 277.516
  2 19.5516 1014.81 277.121
  3 32.586 958.22 283.935
  4 45.6204 1014.06 291.793
  5 58.6548 970.32 297.726
  6 71.6892 999.27 301.68
  7 84.7236 1016.4 304.534
  8 97.758 948.67 310.314
  9 110.792 1017.42 314.622
  10 123.827 974.22 319.809
  11 136.861 995.57 327.874
  12 149.896 1014.4 323.582
  13 162.93 958.51 316.953
  14 175.964 1014.34 309.441
  15 188.999 984.32 304.809
  16 202.033 984.69 297.143
  17 215.068 1019.7 294.044
  18 228.102 948.26 295.139
  19 241.136 1015.83 287.362
  20 254.171 1024.67 285.248
200000 20 19843
  1 6.5172 966.8 273.556
  2 19.5516 1014.84 280.536
  3 32.586 958.49 292.427
  4 45.6204 1013.75 292.347
  5 58.6548 968.34 292.123
  6 71.6892 1001.28 302.136
  7 84.7236 1016.15 303.205
  8 97.758 948.94 310.971
  9 110.792 1017.33 314.755
  10 123.827 971.82 321.516
  11 136.861 998.04 326.732
  12 149.896 1014.29 321.962
  13 162.93 958.37 318.32
  14 175.964 1014.56 310.271
  15 188.999 985.79 303.45
  16 202.033 983.41 296.428
  17 215.068 1019.68 296.551
  18 228.102 948.34 293.142
  19 241.136 1015.59 289.069
  20 254.171 1027.19 281.448
210000 20 19843.000000000004
  1 6.5172 969.63 269.49
  2 19.5516 1014.7 280.745
  3 32.586 958.53 291.227
  4 45.6204 1013.85 295.59
  5 58.6548 968.78 299.32
  6 71.6892 1000.91 301.729
  7 84.7236 1016.33 302.419
  8 97.758 948.71 310.003
  9 110.792 1017.37 313.845
  10 123.827 973.96 322.197
  11 136.861 995.81 327.203
  12 149.896 1014.46 318.594
  13 162.93 958.46 313.124
  14 175.964 1014.37 312.989
  15 188.999 985.5 305.546
  16 202.033 983.56 301.646
  17 215.068 1019.57 298.401
  18 228.102 948.15 292.974
  19 241.136 1016.04 286.294
  20 254.171 1024.31 276.744
220000 20 19843
  1 6.5172 970.51 271.446
  2 19.5516 1014.61 275.228
  3 32.586 958.59 288.7
  4 45.6204 1013.89 294.227
  5 58.6548 966.66 298.663
  6 71.6892 1003 304.573
  7 84.7236 1016.29 306.421
  8 97.758 948.83 309.481
  9 110.792 1017.29 311.425
  10 123.827 974.22 319.527
  11 136.861 995.54 326.772
  12 149.896 1014.51 324.136
  13 162.93 958.48 313.843
  14 175.964 1014.43 309.506
  15 188.999 987.3 305.828
  16 202.033 981.74 299.326
  17 215.068 1019.56 299.816
  18 228.102 948.46 294.296
  19 241.136 1015.63 288.692
  20 254.171 1023.46 282.371
230000 20 19842.999999999996
  1 6.5172 972.22 272.62
  2 19.5516 1014.8 278.088
  3 32.586 958.22 289.998
  4 45.6204 1014.1 292.199
  5 58.6548 968.8 296.183
  6 71.6892 1000.98 303.42
  7 84.7236 1016.48 304.228
  8 97.758 948.62 307.614
  9 110.792 1017.12 313.925
  10 123.827 975.25 319.68
  11 136.861 994.58 328.335
  12 149.896 1014.53 323.924
  13 162.93 958.37 315.292
  14 175.964 1014.4 312.342
  15 188.999 984.87 306.974
  16 202.033 984.18 302.792
  17 215.068 1019.43 298.759
  18 228.102 948.01 295.68
  19 241.136 1016.37 286.665
  20 254.171 1021.67 278.504
240000 20 19842.999999999996
  1 6.5172 972.83 276.639
  2 19.5516 1014.44 279.654
  3 32.586 958.51 284.987
  4 45.6204 1014.12 291.051
  5 58.6548 966.65 291.409
  6 71.6892 1003.22 298.724
  7 84.7236 1016.38 304.64
  8 97.758 948.79 307.938
  9 110.792 1017.11 314.308
  10 123.827 976.19 316.453
  11 136.861 993.59 333.845
  12 149.896 1014.48 324.982
  13 162.93 958.47 320.078
  14 175.964 1014.32 309.557
  15 188.999 986.99 309.252
  16 202.033 982.16 300.239
  17 215.068 1019.54 297.791
  18 228.102 947.86 292.856
  19 241.136 1016.28 288.193
  20 254.171 1021.07 286.565
250000 20 19843.000000000004
  1 6.5172 974.79 272.652
  2 19.5516 1014.55 281.571
  3 32.586 958.29 287.239
  4 45.6204 1014.25 289.804
  5 58.6548 966.78 296
  6 71.6892 1003 302.502
  7 84.7236 1016.38 306.435
  8 97.758 948.76 308.017
  9 110.792 1017.22 310.949
  10 123.827 976.05 316.783
  11 136.861 993.67 326.046
  12 149.896 1014.59 323.232
  13 162.93 958.43 313.99
  14 175.964 1014.21 310.58
  15 188.999 986.59 308.911
  16 202.033 982.62 300.427
  17 215.068 1019.52 298.719
  18 228.102 948 293.926
  19 241.136 1016.15 294.173
  20 254.171 1019.15 284.784
260000 20 19843
  1 6.5172 974.19 276.622
  2 19.5516 1014.38 281.497
  3 32.586 958.4 287.726
  4 45.6204 1014.29 292.714
  5 58.6548 966.98 297.215
  6 71.6892 1002.9 303.273
  7 84.7236 1016.48 304.272
  8 97.758 948.51 308.96
  9 110.792 1017.25 316.185
  10 123.827 976.51 317.179
  11 136.861 993.24 326.233
  12 149.896 1014.51 324.151
  13 162.93 958.57 313.755
  14 175.964 1014.27 308.599
  15 188.999 986.59 302.905
  16 202.033 982.5 297.538
  17 215.068 1019.43 296.866
  18 228.102 948.08 296.521
  19 241.136 1016.1 292.175
  20 254.171 1019.82 284.009
270000 20 19843
  1 6.5172 972.12 272.998
  2 19.5516 1014.61 280.562
  3 32.586 958.33 289.958
  4 45.6204 1014.17 296.922
  5 58.6548 965.02 296.954
  6 71.6892 1004.77 302.989
  7 84.7236 1016.39 307.175
  8 97.758 948.81 310.518
  9 110.792 1017.12 313.023
  10 123.827 974.71 317.966
  11 136.861 995.07 327.277
  12 149.896 1014.47 324.585
  13 162.93 958.54 314.91
  14 175.964 1014.34 311.283
  15 188.999 987.06 305.097
  16 202.033 982 298.872
  17 215.068 1019.34 295.158
  18 228.102 947.94 294.171
  19 241.136 1016.31 287.078
  20 254.171 1021.88 278.852
280000 20 19843.000000000004
  1 6.5172 973.06 271.675
  2 19.5516 1014.46 277.11
  3 32.586 958.43 285.883
  4 45.6204 1014.23 295.049
  5 58.6548 966.84 303.471
  6 71.6892 1002.92 303.32
  7 84.7236 1016.73 304.393
  8 97.758 948.28 308.021
  9 110.792 1017.38 317.408
  10 123.827 975.92 321.72
  11 136.861 993.76 325.15
  12 149.896 1014.55 322.592
  13 162.93 958.37 318.688
  14 175.964 1014.41 311.826
  15 188.999 985.04 308.12
  16 202.033 984.02 303.661
  17 215.068 1019.5 298.235
  18 228.102 948.19 291.99
  19 241.136 1016.08 283.86
  20 254.171 1020.83 281.884
290000 20 19843
  1 6.5172 971.58 272.596
  2 19.5516 1014.54 282.176
  3 32.586 958.45 286.319
  4 45.6204 1014.12 293.911
  5 58.6548 965.68 295.54
  6 71.6892 1004.1 303.473
  7 84.7236 1016.57 305.852
  8 97.758 948.28 309.675
  9 110.792 1017.66 314.467
  10 123.827 973.65 320.217
  11 136.861 995.86 332.484
  12 149.896 1014.51 322.984
  13 162.93 958.63 315.419
  14 175.964 1014.16 311.052
  15 188.999 986.43 306.482
  16 202.033 982.77 305.394
  17 215.068 1019.5 299.611
  18 228.102 948.25 291.067
  19 241.136 1015.93 287.947
  20 254.171 1022.33 277.145
300000 20 19843.000000000007
  1 6.5172 972.5 273.714
  2 19.5516 1014.61 280.731
  3 32.586 958.48 288.917
  4 45.6204 1013.95 298.051
  5 58.6548 968.8 298.68
  6 71.6892 1001.16 304.879
  7 84.7236 1016.97 305.575
  8 97.758 948.16 309.389
  9 110.792 1017.18 312.798
  10 123.827 972.85 317.671
  11 136.861 996.79 326.907
  12 149.896 1014.54 320.444
  13 162.93 958.43 315.378
  14 175.964 1014.32 310.649
  15 188.999 984.2 309.563
  16 202.033 984.87 301.503
  17 215.068 1019.37 297.697
  18 228.102 948.11 294.663
  19 241.136 1016.24 289.87
  20 254.171 1021.47 281.561
310000 20 19843
  1 6.5172 971.7 273.292
  2 19.5516 1014.81 279.811
  3 32.586 958.2 290.608
  4 45.6204 1014.09 294.665
  5 58.6548 968.66 297.088
  6 71.6892 1001.15 301.767
  7 84.7236 1016.82 309.024
  8 97.758 948.27 310.613
  9 110.792 1017.32 312.879
  10 123.827 971.45 320.884
  11 136.861 998.18 331.944
  12 149.896 1014.44 320.713
  13 162.93 958.41 312.323
  14 175.964 1014.32 311.565
  15 188.999 985.18 305.104
  16 202.033 984.01 298.534
  17 215.068 1019.45 300.361
  18 228.102 948.16 295.025
  19 241.136 1016.08 286.385
  20 254.171 1022.3 281.531
320000 20 19843
  1 6.5172 973.46 279.81
  2 19.5516 1014.8 282.732
  3 32.586 958.45 285.684
  4 45.6204 1013.83 292.073
  5 58.6548 970.49 292.19
  6 71.6892 999.44 305.076
  7 84.7236 1016.84 306.751
  8 97.758 948.36 310.411
  9 110.792 1017.11 315.069
  10 123.827 971.87 322.212
  11 136.861 997.76 330.383
  12 149.896 1014.48 320.742
  13 162.93 958.38 314.785
  14 175.964 1014.43 312.117
  15 188.999 984.26 304.29
  16 202.033 984.91 301.207
  17 215.068 1019.25 296.519
  18 228.102 947.88 291.884
  19 241.136 1016.51 286.89
  20 254.171 1020.49 285.077
330000 20 19843.000000000004
  1 6.5172 970.6 273.493
  2 19.5516 1014.92 282.639
  3 32.586 958.23 291.271
  4 45.6204 1013.94 294.734
  5 58.6548 970.66 298.635
  6 71.6892 999.3 295.119
  7 84.7236 1016.96 305.665
  8 97.758 948.18 310.928
  9 110.792 1017.11 316.561
  10 123.827 970.94 320.905
  11 136.861 998.69 325.229
  12 149.896 1014.51 319.309
  13 162.93 958.37 314.555
  14 175.964 1014.39 312.514
  15 188.999 981.09 306.797
  16 202.033 988.12 305.744
  17 215.068 1019.9 300.491
  18 228.102 947.8 295.476
  19 241.136 1015.95 290.777
  20 254.171 1023.34 281.862
340000 20 19843
  1 6.5172 971.21 276.205
  2 19.5516 1014.69 285.821
  3 32.586 958.43 294.458
  4 45.6204 1013.94 294.313
  5 58.6548 968.73 296.817
  6 71.6892 1001.18 301.212
  7 84.7236 1016.75 304.908
  8 97.758 948.3 306.169
  9 110.792 1017.28 315.563
  10 123.827 971.51 319.992
  11 136.861 998.08 324.543
  12 149.896 1014.4 322.457
  13 162.93 958.61 315.943
  14 175.964 1014.39 311.013
  15 188.999 984.32 307.352
  16 202.033 984.8 299.327
  17 215.068 1019.6 294.544
  18 228.102 948.61 293.01
  19 241.136 1015.47 289.851
  20 254.171 1022.7 286.393
350000 20 19843.000000000004
  1 6.5172 973.45 274.026
  2 19.5516 1014.55 284.388
  3 32.586 958.4 291.213
  4 45.6204 1014.14 295.589
  5 58.6548 969 294.887
  6 71.6892 1000.92 301.56
  7 84.7236 1016.77 306.042
  8 97.758 947.6 309.88
  9 110.792 1017.88 314.731
  10 123.827 972.59 316.827
  11 136.861 997.09 325.322
  12 149.896 1014.48 322.215
  13 162.93 958.53 312.137
  14 175.964 1014.26 310.348
  15 188.999 985.51 309.315
  16 202.033 983.61 303.745
  17 215.068 1019.72 298.258
  18 228.102 948.74 297.667
  19 241.136 1015.4 291.897
  20 254.171 1020.36 281.735
360000 20 19842.999999999996
  1 6.5172 973.47 272.734
  2 19.5516 1014.57 282.216
  3 32.586 958.38 288.149
  4 45.6204 1014.12 292.23
  5 58.6548 968.96 297.917
  6 71.6892 1000.91 302.212
  7 84.7236 1016.85 308.109
  8 97.758 947.42 311.668
  9 110.792 1018.13 313.27
  10 123.827 971.79 313.967
  11 136.861 997.83 326.999
  12 149.896 1014.39 323.233
  13 162.93 958.67 312.809
  14 175.964 1014.24 308.536
  15 188.999 985.4 306.331
  16 202.033 983.76 309.243
  17 215.068 1019.67 305.828
  18 228.102 949.06 295.017
  19 241.136 1014.94 287.821
  20 254.171 1020.44 287.09
370000 20 19843.000000000004
  1 6.5172 975.28 271.249
  2 19.5516 1014.58 278.842
  3 32.586 958.41 292.519
  4 45.6204 1014.09 296.97
  5 58.6548 968.62 298.055
  6 71.6892 1001.36 304.931
  7 84.7236 1017.06 302.932
  8 97.758 947.65 309.554
  9 110.792 1017.6 313.394
  10 123.827 973.08 317.427
  11 136.861 996.51 326.297
  12 149.896 1014.47 326.597
  13 162.93 958.46 324.531
  14 175.964 1014.28 313.345
  15 188.999 985.46 305.914
  16 202.033 983.74 302.765
  17 215.068 1019.55 301.335
  18 228.102 948.61 295.127
  19 241.136 1015.56 285.148
  20 254.171 1018.63 279.198
380000 20 19843.000000000004
  1 6.5172 973.03 272.335
  2 19.5516 1014.66 277.755
  3 32.586 958.14 287.598
  4 45.6204 1014.27 292.343
  5 58.6548 967.97 297.681
  6 71.6892 1002.07 300.018
  7 84.7236 1016.74 304.673
  8 97.758 947.7 310.876
  9 110.792 1017.82 316.346
  10 123.827 972.35 326.725
  11 136.861 997.17 328.985
  12 149.896 1014.37 325.159
  13 162.93 958.64 314.073
  14 175.964 1014.37 313.283
  15 188.999 984.75 310.468
  16 202.033 984.38 301.261
  17 215.068 1019.58 297.55
  18 228.102 949 293.286
  19 241.136 1015.11 289.757
  20 254.171 1020.88 285.221
390000 20 19842.999999999996
  1 6.5172 977.68 276.214
  2 19.5516 1014.16 281.394
  3 32.586 958.68 290.536
  4 45.6204 1014.24 289.878
  5 58.6548 965.76 292.37
  6 71.6892 1004.15 301.392
  7 84.7236 1016.86 307.531
  8 97.758 947.51 309.478
  9 110.792 1018.23 319.193
  10 123.827 976.64 323.355
  11 136.861 992.73 328.233
  12 149.896 1014.55 315.737
  13 162.93 958.46 312.207
  14 175.964 1014.32 310.637
  15 188.999 986.12 309.918
  16 202.033 982.99 307.387
  17 215.068 1019.64 302.082
  18 228.102 948.3 296.109
  19 241.136 1015.69 288.994
  20 254.171 1016.29 284.027
400000 20 19842.999999999996
  1 6.5172 974.47 278.61
  2 19.5516 1014.39 280.178
  3 32.586 958.6 290.189
  4 45.6204 1014.09 295.13
  5 58.6548 965.55 298.258
  6 71.6892 1004.32 304.579
  7 84.7236 1016.8 303.511
  8 97.758 947.46 311.623
  9 110.792 1018.12 314.257
