# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  18 228.102 948.58 288.397
  19 241.136 1016.15 290.605
  20 254.171 1002.77 288.53
430000 20 19843
  1 6.5172 990.15 274.504
  2 19.5516 1015.34 282.815
  3 32.586 957.65 286.641
  4 45.6204 1014.87 289.187
  5 58.6548 977.97 293.616
  6 71.6892 990.06 298.202
  7 84.7236 1019.04 298.796
  8 97.758 948.04 309.088
  9 110.792 1016.59 312.066
  10 123.827 988.04 319.454
  11 136.861 981.68 329.229
  12 149.896 1014.74 319.333
  13 162.93 957.44 316.787
  14 175.964 1014.84 312.427
  15 188.999 965.19 308.424
  16 202.033 1004.35 302.108
  17 215.068 1018.19 298.713
  18 228.102 948.59 292.653
  19 241.136 1015.91 291.103
  20 254.171 1004.32 287.038
440000 20 19843
  1 6.5172 989.6 277.502
  2 19.5516 1015.57 279.927
  3 32.586 957.6 283.116
  4 45.6204 1014.8 292.201
  5 58.6548 977.51 297.517
  6 71.6892 990.43 299.187
  7 84.7236 1019.29 302.66
  8 97.758 947.64 308.506
  9 110.792 1016.68 314.36
  10 123.827 988.06 317.727
  11 136.861 981.7 328.252
  12 149.896 1014.77 320.126
  13 162.93 957.46 310.275
  14 175.964 1014.81 305.158
  15 188.999 964.46 307.635
  16 202.033 1005.1 306.148
  17 215.068 1017.99 299.7
  18 228.102 948.61 297.379
  19 241.136 1016.07 291.778
  20 254.171 1004.85 283.351
450000 20 19843
  1 6.5172 992.22 275.535
  2 19.5516 1015.45 281.587
  3 32.586 957.38 283.43
  4 45.6204 1015.08 290.363
  5 58.6548 974.78 293.678
  6 71.6892 993.22 303.517
  7 84.7236 1019.17 307.131
  8 97.758 947.98 311.753
  9 110.792 1016.47 316.499
  10 123.827 990.56 315.95
  11 136.861 979.24 328.375
  12 149.896 1014.82 321.459
  13 162.93 957.54 312.819
  14 175.964 1014.65 308.407
  15 188.999 966.97 306.627
  16 202.033 1002.6 300.265
  17 215.068 1018.03 301.545
  18 228.102 948.65 297.806
  19 241.136 1015.98 285.808
  20 254.171 1002.21 280.947
460000 20 19843
  1 6.5172 991.69 275.068
  2 19.5516 1015.48 276.822
  3 32.586 957.56 288.201
  4 45.6204 1014.91 292.194
  5 58.6548 975.55 296.683
  6 71.6892 992.49 303.812
  7 84.7236 1019.31 307.551
  8 97.758 947.73 310.58
  9 110.792 1016.55 313.888
  10 123.827 990.02 318.394
  11 136.861 979.76 329.653
  12 149.896 1014.65 323.384
  13 162.93 957.69 320.416
  14 175.964 1014.7 309.166
  15 188.999 964.76 300.69
  16 202.033 1004.71 301.739
  17 215.068 1018.14 292.111
  18 228.102 948.51 292.776
  19 241.136 1016.08 289.418
  20 254.171 1002.71 284.267
470000 20 19843.000000000004
  1 6.5172 992.48 273.48
  2 19.5516 1015.36 278.15
  3 32.586 957.45 285.151
  4 45.6204 1015.07 294.345
  5 58.6548 972.67 299.909
  6 71.6892 995.3 302.041
  7 84.7236 1019.47 306.819
  8 97.758 947.75 313.083
  9 110.792 1016.47 312.817
  10 123.827 992.49 317.008
  11 136.861 977.28 328.493
  12 149.896 1014.99 322.935
  13 162.93 957.45 317.58
  14 175.964 1014.61 310.567
  15 188.999 965.72 308.411
  16 202.033 1003.82 299.384
  17 215.068 1018.04 293.791
  18 228.102 948.6 291.773
  19 241.136 1016.08 288.265
  20 254.171 1001.9 283.247
480000 20 19843
  1 6.5172 992.8 268.931
  2 19.5516 1015.45 277.804
  3 32.586 957.55 287.61
  4 45.6204 1015.01 294.955
  5 58.6548 972.8 299.513
  6 71.6892 994.9 303.406
  7 84.7236 1020 305.447
  8 97.758 947.41 304.334
  9 110.792 1016.53 309.631
  10 123.827 992.25 316.738
  11 136.861 977.47 331.596
  12 149.896 1014.8 323.664
  13 162.93 957.65 317.495
  14 175.964 1014.59 310.235
  15 188.999 965.24 303.713
  16 202.033 1004.43 304.057
  17 215.068 1017.78 298.025
  18 228.102 948.75 296.039
  19 241.136 1016.09 288.428
  20 254.171 1001.5 283.286
490000 20 19843
  1 6.5172 993.06 271.105
  2 19.5516 1015.32 279.307
  3 32.586 957.6 281.994
  4 45.6204 1015.03 292.904
  5 58.6548 971.34 297.288
  6 71.6892 996.39 301.444
  7 84.7236 1019.75 305.649
  8 97.758 947.77 311.621
  9 110.792 1016.4 315.804
  10 123.827 992.19 320.21
  11 136.861 977.56 328.874
  12 149.896 1015.02 321.268
  13 162.93 957.49 311.657
  14 175.964 1014.53 306.833
  15 188.999 966.29 309.803
  16 202.033 1003.32 299.566
  17 215.068 1018.02 299.045
  18 228.102 948.52 298.216
  19 241.136 1016.03 291.451
  20 254.171 1001.37 282.616
500000 20 19843
  1 6.5172 992.79 264.891
  2 19.5516 1015.36 275.491
  3 32.586 957.52 288.572
  4 45.6204 1015.04 291.373
  5 58.6548 970.95 296.227
  6 71.6892 996.84 300.331
  7 84.7236 1019.66 309.024
  8 97.758 947.64 315.543
  9 110.792 1016.55 321.274
  10 123.827 991.77 320.271
  11 136.861 978.02 331.435
  12 149.896 1015.09 324.549
  13 162.93 957.59 312.783
  14 175.964 1014.34 312.526
  15 188.999 967.38 306.869
  16 202.033 1002.19 301.046
  17 215.068 1018.03 295.295
  18 228.102 948.61 292.117
  19 241.136 1016.1 286.448
  20 254.171 1001.53 278.799
