# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  14 175.964 1013.82 306.183
  15 188.999 979.24 299.368
  16 202.033 990.52 298.046
  17 215.068 1018 293.705
  18 228.102 949.43 286.599
  19 241.136 1014.93 284.764
  20 254.171 998.98 280.088
110000 20 19842.999999999996
  1 6.5172 995.44 270.872
  2 19.5516 1015.23 277.685
  3 32.586 957.45 288.606
  4 45.6204 1014.81 292.05
  5 58.6548 968.77 294.715
  6 71.6892 999.52 298.819
  7 84.7236 1018.92 304.906
  8 97.758 947.98 313.637
  9 110.792 1016.82 313.032
  10 123.827 987.63 318.181
  11 136.861 982.17 328.797
  12 149.896 1015.12 321.765
  13 162.93 957.88 317.374
  14 175.964 1014.04 311.986
  15 188.999 978.05 307.926
  16 202.033 991.69 299.83
  17 215.068 1018.04 291.712
  18 228.102 949.1 286.273
  19 241.136 1015.25 283.401
  20 254.171 999.09 281.176
120000 20 19842.999999999996
  1 6.5172 992.58 272.866
  2 19.5516 1015.2 279.764
  3 32.586 957.51 290.447
  4 45.6204 1014.62 291.046
  5 58.6548 966.92 294.238
  6 71.6892 1001.39 302.318
  7 84.7236 1018.39 302.938
  8 97.758 948.37 307.036
  9 110.792 1016.94 312.596
  10 123.827 985.98 317.127
  11 136.861 983.87 330.053
  12 149.896 1014.98 320.931
  13 162.93 957.94 315.407
  14 175.964 1014.15 309.1
  15 188.999 979.89 304.603
  16 202.033 989.93 301.116
  17 215.068 1018.01 294.521
  18 228.102 949.35 291.499
  19 241.136 1015.1 286.109
  20 254.171 1001.88 280.048
130000 20 19843
  1 6.5172 993.8 273.034
  2 19.5516 1014.95 284.734
  3 32.586 957.86 293.014
  4 45.6204 1014.64 295.039
  5 58.6548 968.99 296.131
  6 71.6892 999.23 302.801
  7 84.7236 1018.51 303.393
  8 97.758 948.37 304.195
  9 110.792 1016.79 310.009
  10 123.827 986.97 319.759
  11 136.861 982.83 328.709
  12 149.896 1014.89 325.422
  13 162.93 957.87 312.037
  14 175.964 1014.28 306.229
  15 188.999 976.68 303.003
  16 202.033 993.07 300.584
  17 215.068 1018.03 293.853
  18 228.102 949.27 290.574
  19 241.136 1015.23 288.199
  20 254.171 1000.74 282.962
140000 20 19842.999999999996
  1 6.5172 995.56 276.677
  2 19.5516 1015.06 284.544
  3 32.586 957.38 287.477
  4 45.6204 1015.13 288.967
  5 58.6548 968.47 294.183
  6 71.6892 999.84 298.717
  7 84.7236 1018.16 305.798
  8 97.758 948.49 313.725
  9 110.792 1016.98 316.735
  10 123.827 987.47 320.86
  11 136.861 982.33 324.055
  12 149.896 1015.12 318.717
  13 162.93 957.93 316.334
  14 175.964 1013.97 312.229
  15 188.999 978.02 307.639
  16 202.033 991.78 296.317
  17 215.068 1018.02 294.631
  18 228.102 949.19 287.232
  19 241.136 1015.21 285.612
  20 254.171 998.89 284.805
150000 20 19843
  1 6.5172 993.41 271.345
  2 19.5516 1015.07 277.327
  3 32.586 957.8 281.614
  4 45.6204 1014.77 287.952
  5 58.6548 973.71 291.178
  6 71.6892 994.52 296.133
  7 84.7236 1018.84 301.545
  8 97.758 948 310.801
  9 110.792 1016.75 316.208
  10 123.827 986.53 319.286
  11 136.861 983.26 327.263
  12 149.896 1014.94 324.072
  13 162.93 957.5 323.801
  14 175.964 1014.6 311.821
  15 188.999 972.47 309.286
  16 202.033 997.27 298.77
  17 215.068 1018.03 297.176
  18 228.102 949.29 293.506
  19 241.136 1015.19 286.874
  20 254.171 1001.05 283.273
160000 20 19843.000000000004
  1 6.5172 993.88 272.377
  2 19.5516 1015.02 278.418
  3 32.586 957.65 284.507
  4 45.6204 1014.89 289.471
  5 58.6548 972.35 292.773
  6 71.6892 995.85 298.283
  7 84.7236 1018.67 303.628
  8 97.758 948.12 310.618
  9 110.792 1016.86 309.461
  10 123.827 987.37 319.487
  11 136.861 982.44 334.098
  12 149.896 1014.84 325.766
  13 162.93 957.71 318.942
  14 175.964 1014.45 314.246
  15 188.999 972.01 311.148
  16 202.033 997.69 299.633
  17 215.068 1018.05 297.664
  18 228.102 949.33 291.53
  19 241.136 1015.11 284.961
  20 254.171 1000.71 279.188
170000 20 19843.000000000004
  1 6.5172 990.44 270.601
  2 19.5516 1014.95 280.497
  3 32.586 957.63 285.521
  4 45.6204 1014.86 290.307
  5 58.6548 972.72 298.327
  6 71.6892 995.63 297.306
  7 84.7236 1018.82 303.799
  8 97.758 947.95 307.915
  9 110.792 1016.86 316.507
  10 123.827 986.2 321.614
  11 136.861 983.59 328.285
  12 149.896 1014.9 323.437
  13 162.93 957.64 317.525
  14 175.964 1014.47 316.296
  15 188.999 971.61 310.473
  16 202.033 998.13 303.138
  17 215.068 1018.05 296.4
  18 228.102 948.81 288.59
  19 241.136 1015.83 281.295
  20 254.171 1003.91 276.556
180000 20 19843
  1 6.5172 992.41 270.918
  2 19.5516 1015.16 280.281
  3 32.586 957.61 284.238
  4 45.6204 1014.7 293.103
  5 58.6548 973.02 294.969
  6 71.6892 995.32 296.331
  7 84.7236 1018.8 304.829
  8 97.758 948.02 306.694
  9 110.792 1016.75 315.986
  10 123.827 987.09 323.087
  11 136.861 982.69 327.73
  12 149.896 1014.84 323.409
  13 162.93 957.5 317.078
