# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 4 19843
  1 35.3949 5418.27 296.105
  2 106.185 5380.18 302.48
  3 176.975 5378.4 304.168
  4 247.764 3666.15 295.45
20000 4 19843
  1 35.3949 5417.37 294.428
  2 106.185 5381.13 304.646
  3 176.975 5378.74 307.946
  4 247.764 3665.76 294.467
30000 4 19843
  1 35.3949 5415.92 290.655
  2 106.185 5379.71 310.959
  3 176.975 5378.14 308.756
  4 247.764 3669.23 293.519
40000 4 19843
  1 35.3949 5412.02 291.692
  2 106.185 5379.6 312.883
  3 176.975 5378.07 310.57
  4 247.764 3673.31 290.789
50000 4 19843
  1 35.3949 5410.74 287.856
  2 106.185 5379.69 315.48
  3 176.975 5378.11 313.105
  4 247.764 3674.46 289.54
60000 4 19843
  1 35.3949 5410.45 288.08
  2 106.185 5378.95 315.979
  3 176.975 5378.08 311.201
  4 247.764 3675.52 291.695
70000 4 19843
  1 35.3949 5409.41 289.713
  2 106.185 5379.57 318.463
  3 176.975 5378.18 308.584
  4 247.764 3675.84 290.353
80000 4 19843
  1 35.3949 5409.99 290.171
  2 106.185 5379.32 318.015
  3 176.975 5378.09 308.817
  4 247.764 3675.6 290.456
90000 4 19843
  1 35.3949 5407.27 289.019
  2 106.185 5380.21 317.51
  3 176.975 5378.17 314.015
  4 247.764 3677.35 289.625
100000 4 19843
  1 35.3949 5408.02 288.164
  2 106.185 5380.44 315.391
  3 176.975 5378.17 314.81
  4 247.764 3676.37 294.464
110000 4 19843
  1 35.3949 5410.14 289.001
  2 106.185 5379.8 314.03
  3 176.975 5378.18 315.442
  4 247.764 3674.88 293.9
120000 4 19843
  1 35.3949 5407.04 290.534
  2 106.185 5380.94 313.839
  3 176.975 5378.11 313.875
  4 247.764 3676.91 294.582
130000 4 19843
  1 35.3949 5408.35 291.374
  2 106.185 5381.51 316.45
  3 176.975 5378.2 314.65
  4 247.764 3674.94 290.244
140000 4 19843
  1 35.3949 5407.88 291.28
  2 106.185 5382.53 315.98
  3 176.975 5378.21 314.985
  4 247.764 3674.38 289.794
150000 4 19843
  1 35.3949 5409.12 291.032
  2 106.185 5381.66 316.889
  3 176.975 5378.18 313.756
  4 247.764 3674.04 290.788
160000 4 19843
  1 35.3949 5407.53 291.24
  2 106.185 5381.69 319.627
  3 176.975 5378.2 311.98
  4 247.764 3675.58 289.802
170000 4 19843
  1 35.3949 5407.66 292.309
  2 106.185 5382.24 318.173
  3 176.975 5378.18 312.872
  4 247.764 3674.92 290.248
180000 4 19843
  1 35.3949 5406.26 293.877
  2 106.185 5382.41 315.791
  3 176.975 5378.13 313.766
  4 247.764 3676.2 290.709
190000 4 19843
  1 35.3949 5404.47 294.678
  2 106.185 5383.55 313.221
  3 176.975 5378.15 314.61
  4 247.764 3676.83 291.791
200000 4 19843
  1 35.3949 5407.09 291.028
  2 106.185 5382.4 317.354
  3 176.975 5378.17 313.681
  4 247.764 3675.34 294.459
210000 4 19843
  1 35.3949 5405.81 292.052
  2 106.185 5381.9 316.253
  3 176.975 5378.21 314.161
  4 247.764 3677.08 294.67
220000 4 19843
  1 35.3949 5405.6 291.907
  2 106.185 5382.63 316.771
  3 176.975 5378.13 314.984
  4 247.764 3676.64 292.009
230000 4 19843
  1 35.3949 5407.47 290.868
  2 106.185 5381.86 318.103
  3 176.975 5378.21 315.859
  4 247.764 3675.46 292.239
240000 4 19843
  1 35.3949 5405.6 291.589
  2 106.185 5381.63 316.773
  3 176.975 5378.21 315.604
  4 247.764 3677.56 295.056
250000 4 19843
  1 35.3949 5409.13 291.743
  2 106.185 5381.34 316.579
  3 176.975 5378.2 312.772
  4 247.764 3674.33 298.776
260000 4 19843
  1 35.3949 5405.82 291.123
  2 106.185 5381.72 317.021
  3 176.975 5378.16 315.088
  4 247.764 3677.3 295.033
270000 4 19843
  1 35.3949 5407.94 292.163
  2 106.185 5380.98 316.616
  3 176.975 5378.18 316.014
  4 247.764 3675.9 293.095
280000 4 19843
  1 35.3949 5408.61 293.468
  2 106.185 5381.28 316.641
  3 176.975 5378.2 313.15
  4 247.764 3674.91 295.323
290000 4 19843
  1 35.3949 5410.12 290.749
  2 106.185 5380.42 319.099
  3 176.975 5378.2 316.149
  4 247.764 3674.26 292.319
300000 4 19843
  1 35.3949 5411.83 288.758
  2 106.185 5381.01 320.354
  3 176.975 5378.19 316.403
  4 247.764 3671.97 293.262
310000 4 19843
  1 35.3949 5411.91 289.466
  2 106.185 5380.86 318.413
  3 176.975 5378.15 318.657
  4 247.764 3672.08 292.688
320000 4 19843
  1 35.3949 5413.53 290.478
  2 106.185 5380.66 317.08
  3 176.975 5378.11 316.615
  4 247.764 3670.7 295.616
330000 4 19843
  1 35.3949 5410.7 290.026
  2 106.185 5381.26 314.991
  3 176.975 5378.25 316.675
  4 247.764 3672.79 297.993
340000 4 19843
  1 35.3949 5410.94 291.041
  2 106.185 5380.83 317.16
  3 176.975 5378.17 314.701
  4 247.764 3673.06 296.971
350000 4 19843
  1 35.3949 5410.63 292.444
  2 106.185 5382.06 318.288
  3 176.975 5378.17 315.161
  4 247.764 3672.14 293.405
360000 4 19843
  1 35.3949 5410.98 291.5
  2 106.185 5380.78 319.893
  3 176.975 5378.17 314.703
  4 247.764 3673.07 292.649
370000 4 19843
  1 35.3949 5409.69 292.811
  2 106.185 5381.36 320.093
  3 176.975 5378.17 313.724
  4 247.764 3673.78 292.318
380000 4 19843
  1 35.3949 5409.58 291.558
  2 106.185 5381.65 322.367
  3 176.975 5378.18 314.124
  4 247.764 3673.59 289.359
390000 4 19843
  1 35.3949 5411.17 289.951
  2 106.185 5381.96 320.504
  3 176.975 5378.14 315.53
  4 247.764 3671.73 293.251
400000 4 19843
  1 35.3949 5407.58 292.33
  2 106.185 5383.72 319.888
  3 176.975 5378.2 315.703
  4 247.764 3673.5 291.355
410000 4 19843
  1 35.3949 5405.58 291.95
  2 106.185 5383.03 319.014
  3 176.975 5378.2 314.878
  4 247.764 3676.19 293.261
420000 4 19842.999999999996
  1 35.3949 5406.33 292.296
  2 106.185 5383.86 317.353
  3 176.975 5378.21 315.267
  4 247.764 3674.6 294.43
430000 4 19843
  1 35.3949 5405.61 292.295
  2 106.185 5383.56 317.951
  3 176.975 5378.21 315.854
  4 247.764 3675.62 293.192
440000 4 19843
  1 35.3949 5405.3 290.439
  2 106.185 5383.5 319.104
  3 176.975 5378.17 316.008
  4 247.764 3676.03 294.96
450000 4 19843
  1 35.3949 5403.7 289.627
  2 106.185 5384.42 322.045
  3 176.975 5378.24 314.266
  4 247.764 3676.64 295.268
460000 4 19843
  1 35.3949 5405.13 290.49
  2 106.185 5382.86 318.861
  3 176.975 5378.21 317.87
  4 247.764 3676.8 293.794
470000 4 19843
  1 35.3949 5402.23 292.936
  2 106.185 5384.63 317.986
  3 176.975 5378.11 316.621
  4 247.764 3678.03 291.565
480000 4 19843
  1 35.3949 5403.8 294.687
  2 106.185 5382.21 316.871
  3 176.975 5378.23 316.435
  4 247.764 3678.76 293.002
490000 4 19843
  1 35.3949 5403.7 291.042
  2 106.185 5383.65 318.549
  3 176.975 5378.15 316.981
  4 247.764 3677.5 293.085
500000 4 19843
  1 35.3949 5405.13 292.215
  2 106.185 5382.81 318.773
  3 176.975 5378.13 316.181
  4 247.764 3676.93 292.55
