# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 4 19843
  1 35.3949 5397.87 295.304
  2 106.185 5381.72 304.156
  3 176.975 5378.09 299.336
  4 247.764 3685.32 298.02
20000 4 19843
  1 35.3949 5397.96 288.762
  2 106.185 5380.31 310.527
  3 176.975 5378.08 303.574
  4 247.764 3686.65 294.036
30000 4 19843.000000000004
  1 35.3949 5398.93 288.272
  2 106.185 5379.7 309.727
  3 176.975 5378.06 309.041
  4 247.764 3686.31 289.929
40000 4 19843
  1 35.3949 5398.33 288.738
  2 106.185 5379.17 311.04
  3 176.975 5378.05 307.952
  4 247.764 3687.45 289.537
50000 4 19843
  1 35.3949 5404.02 288.464
  2 106.185 5377.98 312.563
  3 176.975 5378.05 307.619
  4 247.764 3682.95 289.138
60000 4 19843
  1 35.3949 5401.53 287.536
  2 106.185 5378.44 310.912
  3 176.975 5378.07 309.096
  4 247.764 3684.96 289.062
70000 4 19843
  1 35.3949 5401.39 287.416
  2 106.185 5378.48 312.921
  3 176.975 5378.04 308.924
  4 247.764 3685.09 287.299
80000 4 19843
  1 35.3949 5401.09 286.709
  2 106.185 5379.13 312.902
  3 176.975 5378.07 309.444
  4 247.764 3684.71 288.642
90000 4 19843
  1 35.3949 5398.95 287.639
  2 106.185 5378.57 311.552
  3 176.975 5378.05 310.851
  4 247.764 3687.43 287.974
100000 4 19843
  1 35.3949 5398.91 285.538
  2 106.185 5379.05 313.12
  3 176.975 5378.16 311.951
  4 247.764 3686.88 287.334
110000 4 19843
  1 35.3949 5396.61 285.609
  2 106.185 5379.17 313.143
  3 176.975 5378.14 310.849
  4 247.764 3689.08 289.436
120000 4 19843
  1 35.3949 5398.57 285.422
  2 106.185 5378.54 311.188
  3 176.975 5378.17 312.724
  4 247.764 3687.72 289.679
130000 4 19843
  1 35.3949 5395.49 284.535
  2 106.185 5379.21 311.949
  3 176.975 5378.13 311.764
  4 247.764 3690.17 290.485
140000 4 19843
  1 35.3949 5396.61 283.508
  2 106.185 5378.35 314.942
  3 176.975 5378.21 312.17
  4 247.764 3689.83 287.866
150000 4 19843
  1 35.3949 5395.15 284.737
  2 106.185 5378.84 313.495
  3 176.975 5378.17 311.812
  4 247.764 3690.84 286.486
160000 4 19843
  1 35.3949 5392.06 284.513
  2 106.185 5378.29 313.66
  3 176.975 5378.15 312.026
  4 247.764 3694.5 287.698
170000 4 19843
  1 35.3949 5390.91 284.632
  2 106.185 5378.29 316.195
  3 176.975 5378.13 310.034
  4 247.764 3695.67 288.192
180000 4 19843
  1 35.3949 5390.71 285.042
  2 106.185 5377.88 313.803
  3 176.975 5378.2 310.229
  4 247.764 3696.21 290.837
190000 4 19843
  1 35.3949 5391.98 287.131
  2 106.185 5378.3 313.578
  3 176.975 5378.1 309.982
  4 247.764 3694.62 289.925
200000 4 19843
  1 35.3949 5389.02 287.286
  2 106.185 5378.73 314.207
  3 176.975 5378.19 309.606
  4 247.764 3697.06 289.409
210000 4 19843
  1 35.3949 5391.88 288.603
  2 106.185 5378.67 313.525
  3 176.975 5378.21 309.914
  4 247.764 3694.24 287.782
220000 4 19843
  1 35.3949 5392.14 287.196
  2 106.185 5379.33 313.472
  3 176.975 5378.14 310.343
  4 247.764 3693.39 290.494
230000 4 19843
  1 35.3949 5394.39 287.208
  2 106.185 5378.81 313.526
  3 176.975 5378.15 311.958
  4 247.764 3691.65 288.775
240000 4 19843
  1 35.3949 5394.55 285.837
  2 106.185 5379.28 313.524
  3 176.975 5378.08 312.338
  4 247.764 3691.09 290.863
250000 4 19843
  1 35.3949 5397.3 286.679
  2 106.185 5378.41 312.482
  3 176.975 5378.21 311.305
  4 247.764 3689.08 292.047
260000 4 19843
  1 35.3949 5396.58 288.335
  2 106.185 5378.6 313.501
  3 176.975 5378.03 309.1
  4 247.764 3689.79 291.743
270000 4 19843
  1 35.3949 5394.39 288.92
  2 106.185 5378.7 313.484
  3 176.975 5378.13 310.751
  4 247.764 3691.78 287.904
280000 4 19843
  1 35.3949 5394.98 288.045
  2 106.185 5379.08 313.951
  3 176.975 5378.1 312.556
  4 247.764 3690.84 287.913
290000 4 19843
  1 35.3949 5393.57 287.59
  2 106.185 5378.95 315.007
  3 176.975 5378.18 312.009
  4 247.764 3692.3 287.872
300000 4 19843
  1 35.3949 5395.53 289.656
  2 106.185 5377.95 313.067
  3 176.975 5378.08 311.094
  4 247.764 3691.44 290.249
310000 4 19843
  1 35.3949 5394.39 288.238
  2 106.185 5378.24 315.396
  3 176.975 5378.1 309.565
  4 247.764 3692.27 289.949
320000 4 19843
  1 35.3949 5396.7 287.944
  2 106.185 5377.69 315.701
  3 176.975 5378.15 310.236
  4 247.764 3690.46 289.492
330000 4 19843
  1 35.3949 5394.5 288.86
  2 106.185 5376.99 313.553
  3 176.975 5378.28 311.485
  4 247.764 3693.23 291.203
340000 4 19843
  1 35.3949 5394.38 290.541
  2 106.185 5377.72 312.727
  3 176.975 5378.46 310.406
  4 247.764 3692.44 290.835
350000 4 19843
  1 35.3949 5396.76 289.149
  2 106.185 5377.66 313.068
  3 176.975 5378.32 311.302
  4 247.764 3690.26 291.566
360000 4 19843
  1 35.3949 5396.57 287.885
  2 106.185 5377.87 313.486
  3 176.975 5378.33 312.092
  4 247.764 3690.23 292.691
370000 4 19843
  1 35.3949 5398.49 289.155
  2 106.185 5377.72 312.513
  3 176.975 5378.48 314.486
  4 247.764 3688.31 288.753
380000 4 19843
  1 35.3949 5395.95 286.846
  2 106.185 5377.94 315.421
  3 176.975 5378.45 312.674
  4 247.764 3690.66 290.455
390000 4 19843
  1 35.3949 5400.58 287.452
  2 106.185 5378.06 315.69
  3 176.975 5378.45 311.219
  4 247.764 3685.91 291.63
400000 4 19843
  1 35.3949 5396.88 289.96
  2 106.185 5378.51 313.309
  3 176.975 5378.45 311.994
  4 247.764 3689.16 290.856
410000 4 19843
  1 35.3949 5399.15 289.438
  2 106.185 5378.9 314.463
  3 176.975 5378.74 310.808
  4 247.764 3686.21 291.141
420000 4 19843
  1 35.3949 5397.98 288.499
  2 106.185 5378.69 319.871
  3 176.975 5378.6 309.092
  4 247.764 3687.73 289.59
430000 4 19843
  1 35.3949 5396.53 287.238
  2 106.185 5379.05 320.694
  3 176.975 5378.75 312.435
  4 247.764 3688.67 286.476
440000 4 19843
  1 35.3949 5401.03 289.607
  2 106.185 5378.81 316.134
  3 176.975 5378.74 313.243
  4 247.764 3684.42 289.076
450000 4 19843
  1 35.3949 5397.39 286.853
  2 106.185 5379.06 316.237
  3 176.975 5378.8 311.983
  4 247.764 3687.75 293.42
460000 4 19843
  1 35.3949 5399.82 287.821
  2 106.185 5378.96 314.2
  3 176.975 5378.8 312.792
  4 247.764 3685.42 295.236
470000 4 19843
  1 35.3949 5395.77 289.231
  2 106.185 5379.11 313.761
  3 176.975 5378.83 313.772
  4 247.764 3689.29 290.973
480000 4 19843
  1 35.3949 5397.29 290.182
  2 106.185 5378.92 314.049
  3 176.975 5378.77 313.855
  4 247.764 3688.02 290.14
490000 4 19843
  1 35.3949 5395.81 287.117
  2 106.185 5379.05 314.183
  3 176.975 5378.83 313.852
  4 247.764 3689.31 294.386
500000 4 19843
  1 35.3949 5395.48 289.567
  2 106.185 5378.41 314.534
  3 176.975 5378.82 314.636
  4 247.764 3690.29 289.028
