# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843
  1 6.5172 997.38 290.454
  2 19.5516 1013.64 291.958
  3 32.586 957.84 297.804
  4 45.6204 1015.59 298.355
  5 58.6548 961.94 301.49
  6 71.6892 1006.73 297.732
  7 84.7236 1016.36 298.671
  8 97.758 951.77 300.282
  9 110.792 1016.78 300.748
  10 123.827 991.87 302.533
  11 136.861 976.52 314.69
  12 149.896 1014.95 310.7
  13 162.93 960.53 302.791
  14 175.964 1011.75 306.135
  15 188.999 990.38 302.831
  16 202.033 979 297.224
  17 215.068 1018.51 296.958
  18 228.102 949.55 296.478
  19 241.136 1015.36 298.504
  20 254.171 996.55 291.835
20000 20 19843.000000000004
  1 6.5172 997.47 279.884
  2 19.5516 1013.93 289.336
  3 32.586 957.59 295.663
  4 45.6204 1015.51 304.29
  5 58.6548 960.18 300.923
  6 71.6892 1008.51 300.966
  7 84.7236 1016.41 297.914
  8 97.758 951.38 298.719
  9 110.792 1017.06 302.008
  10 123.827 987.06 307.141
  11 136.861 981.38 320.711
  12 149.896 1015.57 313.669
  13 162.93 960.22 309.609
  14 175.964 1011.49 309.781
  15 188.999 991.24 305.398
  16 202.033 978.23 301.142
  17 215.068 1018.48 301.5
  18 228.102 949.49 296.968
  19 241.136 1015.33 292.379
  20 254.171 996.47 289.592
30000 20 19843
  1 6.5172 994.57 277.312
  2 19.5516 1014.26 285.061
  3 32.586 957.31 292.004
  4 45.6204 1015.49 297.193
  5 58.6548 964.89 298.381
  6 71.6892 1003.83 299.705
  7 84.7236 1016.5 304.976
  8 97.758 951.47 306.974
  9 110.792 1016.81 310.57
  10 123.827 985.06 314.231
  11 136.861 983.42 325.131
  12 149.896 1015.55 316.677
  13 162.93 959.85 309.841
  14 175.964 1011.76 309.13
  15 188.999 986.59 304.93
  16 202.033 982.81 303.975
  17 215.068 1018.68 302.413
  18 228.102 949.65 298.445
  19 241.136 1015.23 292.596
  20 254.171 999.27 282.692
40000 20 19843
  1 6.5172 990.59 281.238
  2 19.5516 1014.51 284.973
  3 32.586 957.2 292.402
  4 45.6204 1015.32 294.789
  5 58.6548 966.27 299.953
  6 71.6892 1002.51 303.363
  7 84.7236 1016.25 301.284
  8 97.758 951.29 303.557
  9 110.792 1017.13 311.837
  10 123.827 982.14 323.293
  11 136.861 986.36 331.344
  12 149.896 1015.5 321.527
  13 162.93 959.83 318.903
  14 175.964 1011.87 311.848
  15 188.999 984.92 302.179
  16 202.033 984.58 299.446
  17 215.068 1018.74 298.814
  18 228.102 949.93 290.653
  19 241.136 1014.89 289.221
  20 254.171 1003.17 287.371
50000 20 19843
  1 6.5172 989.4 272.814
  2 19.5516 1014.49 281.116
  3 32.586 957.17 292.714
  4 45.6204 1015.38 292.844
  5 58.6548 967.24 295.312
  6 71.6892 1001.44 300.675
  7 84.7236 1016.02 303.972
  8 97.758 951.25 308.475
  9 110.792 1017.45 317.922
  10 123.827 978.23 321.247
  11 136.861 990.34 334.205
  12 149.896 1015.47 327.707
  13 162.93 959.86 319.376
  14 175.964 1011.78 311.187
  15 188.999 986.51 304.753
  16 202.033 983.05 302.885
  17 215.068 1018.76 302.395
  18 228.102 950.37 295.378
  19 241.136 1014.55 285.986
  20 254.171 1004.24 279.458
60000 20 19843
  1 6.5172 988.36 275.364
  2 19.5516 1014.61 282.625
  3 32.586 957.21 287.941
  4 45.6204 1015.22 290.856
  5 58.6548 968.64 296.36
  6 71.6892 1000.05 302.536
  7 84.7236 1016.14 306.304
  8 97.758 950.91 314.297
  9 110.792 1017.56 315.081
  10 123.827 976.41 322.354
  11 136.861 992.26 331.236
  12 149.896 1015.45 322.473
  13 162.93 959.99 310.995
  14 175.964 1011.76 309.667
  15 188.999 984.67 308.133
  16 202.033 984.77 305.055
  17 215.068 1018.76 301.44
  18 228.102 950.07 294.608
  19 241.136 1014.79 291.174
  20 254.171 1005.37 283.358
70000 20 19842.999999999996
  1 6.5172 987.96 282.696
  2 19.5516 1014.58 283.754
  3 32.586 957.23 287.143
  4 45.6204 1015.23 292.663
  5 58.6548 967.09 296.353
  6 71.6892 1001.53 302.765
